0	0
4020.10050251256	-10.1008187980369
8040.20100502512	-40.4040404298485
12060.3015075377	-90.9119608983247
16080.4020100502	-161.628407841931
20100.5025125628	-252.558741984785
24120.6030150754	-363.709859170399
28140.7035175879	-495.0901929775
32160.8040201005	-646.709717924068
36180.9045226131	-818.579953258904
40201.0050251256	-1010.71396734631
44221.1055276382	-1223.12638264646
48241.2060301508	-1455.83338129848
52261.3065326633	-1708.85271130624
56281.4070351759	-1982.20369333819
60301.5075376884	-2275.90722814307
64321.608040201	-2589.98580459081
68341.7085427136	-2924.46350834302
72361.8090452261	-3279.36603116507
76381.9095477387	-3654.72068088388
80402.0100502513	-4050.55639200339
84422.1105527638	-4466.90373698664
88442.2110552764	-4903.79493821376
92462.311557789	-5361.26388062962
96482.4120603015	-5839.34612508892
100502.512562814	-6338.07892241578
104522.613065327	-6857.50122818661
108542.713567839	-7397.6537182532
112562.814070352	-7958.57880502024
116582.914572864	-8540.32065449076
120603.015075377	-9142.92520409958
124623.115577889	-9766.44018134743
128643.216080402	-10410.9151232579
132663.316582915	-11076.4013966743
136683.417085427	-11762.9522194156
140703.51758794	-12470.6226823153
144723.618090452	-13199.4697721608
148743.718592965	-13949.5523955623
152763.819095477	-14720.9314037689
156783.91959799	-15513.6696184624
160804.020100503	-16327.8318585525
164824.120603015	-17163.4849680025
168844.221105528	-18020.6978447143
172864.32160804	-18899.541470502
176884.422110553	-19800.0889421893
180904.522613065	-20722.4155038598
184924.623115578	-21666.5985802989
188944.72361809	-22632.7178116618
192964.824120603	-23620.8550894063
196984.924623116	-24631.0945935312
201005.025125628	-25663.5228311625
205025.125628141	-26718.2286765288
209045.226130653	-27795.3034123763
213065.326633166	-28894.8407728668
217085.427135678	-30016.936988014
221105.527638191	-31161.6908297057
225125.628140704	-32329.2036593722
229145.728643216	-33519.5794773557
233165.829145729	-34732.9249740422
237185.929648241	-35969.3495828197
241206.030150754	-37228.9655349296
245226.130653266	-38511.8879162807
249246.231155779	-39818.2347262991
253266.331658291	-41148.1269388918
257286.432160804	-42501.6885656021
261306.532663317	-43879.0467210454
265326.633165829	-45280.3316907094
269346.733668342	-46705.6770012166
273366.834170854	-48155.2194931425
273366.834170854	-48155.2194931425
288196.082453082	-53553.0658678733
303025.330735309	-58950.912242604
317854.579017537	-64348.7586173349
332683.827299764	-69746.6049920656
347513.075581992	-75144.4513667964
362342.323864219	-80542.2977415272
377171.572146447	-85940.1441162581
392000.820428674	-91337.9904909888
406830.068710901	-96735.8368657196
421659.316993129	-102133.68324045
436488.565275356	-107531.529615181
451317.813557584	-112929.375989912
466147.061839811	-118327.222364643
480976.310122039	-123725.068739374
495805.558404266	-129122.915114104
510634.806686494	-134520.761488835
525464.054968721	-139918.607863566
540293.303250949	-145316.454238297
555122.551533176	-150714.300613028
569951.799815404	-156112.146987758
584781.048097631	-161509.993362489
599610.296379859	-166907.83973722
614439.544662086	-172305.686111951
629268.792944313	-177703.532486682
644098.041226541	-183101.378861412
658927.289508768	-188499.225236143
673756.537790996	-193897.071610874
688585.786073223	-199294.917985605
703415.034355451	-204692.764360336
718244.282637678	-210090.610735066
733073.530919906	-215488.457109797
747902.779202133	-220886.303484528
762732.027484361	-226284.149859259
777561.275766588	-231681.99623399
792390.524048815	-237079.84260872
807219.772331043	-242477.688983451
822049.02061327	-247875.535358182
836878.268895498	-253273.381732913
851707.517177725	-258671.228107644
866536.765459953	-264069.074482374
881366.01374218	-269466.920857105
896195.262024408	-274864.767231836
911024.510306635	-280262.613606567
925853.758588863	-285660.459981298
940683.00687109	-291058.306356028
955512.255153317	-296456.152730759
970341.503435545	-301853.99910549
985170.751717773	-307251.845480221
1088975.48969336	-342649.691854952
